personID,filename,chirp_wer,Deepgram_wer,googleSTT_wer,whisper_wer,seamless_wer
8,ps048_HP,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
8,ps049_HP,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333
8,ps050_HP,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285
8,ps051_HP,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps052_HP,0.16666666666666666,0.5,0.5,0.16666666666666666,0.5
8,ps053_HP,0.2,0.2,0.4,0.2,0.2
8,ps054_HP,0.2,0.6,0.4,0.2,0.2
8,ps055_HP,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
8,ps056_HP,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
8,ps057_HP,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
8,ps058_HP,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps059_HP,0.2,0.2,0.2,0.2,0.4
8,ps060_HP,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
8,ps061_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps062_HP,0.25,0.25,0.125,0.375,0.375
8,ps063_HP,0.125,0.375,0.125,0.125,0.25
8,ps064_HP,0.125,0.375,0.125,0.125,0.125
8,ps065_HP,0.16666666666666666,0.5,0.5,0.16666666666666666,0.16666666666666666
8,ps066_HP,0.125,0.25,0.25,0.125,0.125
8,ps067_HP,0.125,0.375,0.0,0.125,0.125
8,ps068_HP,0.125,0.125,0.375,0.125,0.125
8,ps069_HP,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
8,ps070_HP,0.125,0.375,0.125,0.125,0.25
8,ps071_HP,0.125,0.125,0.125,0.125,0.125
8,ps072_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps073_HP,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333
8,ps074_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps075_HP,0.125,0.375,0.125,0.125,0.125
8,ps076_HP,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285
8,ps077_HP,0.125,0.125,0.25,0.125,0.125
8,ps078_HP,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps079_HP,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
8,ps080_HP,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps081_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps082_HP,0.125,0.25,0.125,0.125,0.125
8,ps083_HP,0.4,0.6,0.2,0.2,0.2
8,ps084_HP,0.125,0.375,0.25,0.125,0.125
8,ps085_HP,0.125,0.125,0.25,0.25,0.125
8,ps086_HP,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857
8,ps087_HP,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857
8,ps088_HP,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps089_HP,0.125,0.125,0.125,0.125,0.125
8,ps090_HP,0.2,0.2,0.2,0.2,0.2
8,ps091_HP,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps092_HP,0.125,0.125,0.125,0.125,0.125
8,ps093_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
8,ps094_HP,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
8,ps095_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps096_HP,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285
8,ps097_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps098_HP,0.14285714285714285,1.0,0.14285714285714285,0.2857142857142857,0.14285714285714285
8,ps099_HP,0.125,0.125,0.5,0.125,0.125
8,ps100_HP,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
8,ps101_HP,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps102_HP,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
8,ps103_HP,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps104_HP,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857
8,ps105_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
8,ps106_HP,0.16666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.3333333333333333
8,ps107_HP,0.125,0.125,0.125,0.125,0.125
8,ps108_HP,0.125,0.25,0.375,0.25,0.125
8,ps109_HP,0.125,0.125,0.125,0.125,0.125
8,ps110_HP,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps111_HP,0.125,0.125,0.375,0.125,0.125
8,ps112_HP,0.25,0.125,0.125,0.375,0.125
8,ps113_HP,0.25,0.125,0.125,0.125,0.375
8,ps114_HP,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285
8,ps115_HP,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
8,ps116_HP,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857
8,ps117_HP,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855
8,ps118_HP,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5
8,ps119_HP,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333
8,ps120_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps121_HP,0.125,0.125,0.5,0.125,0.125
8,ps122_HP,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333
8,ps123_HP,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
8,ps124_HP,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857
8,ps125_HP,0.125,0.125,0.125,0.125,0.125
9,as001,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666
9,as002,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,as003,0.2,0.2,0.2,0.2,0.2
9,as004,0.125,0.125,0.625,0.125,0.25
9,as005,0.125,0.125,0.375,0.125,0.125
9,as006,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285
9,as007,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666
9,as008,0.125,0.375,0.25,0.125,0.125
9,as009,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666
9,as010,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
9,as011,0.125,0.5,0.5,0.125,0.125
9,as012,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857
9,as013,0.125,0.5,0.5,0.125,0.125
9,as014,0.16666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666
9,as015,0.125,0.375,0.125,0.125,0.125
9,as016,0.25,0.375,0.375,0.25,0.25
9,as017,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333
9,as018,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
9,as019,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666
9,as020,0.375,0.375,0.25,0.125,0.25
9,as021,0.125,0.375,0.25,0.5,0.25
9,as022,0.16666666666666666,0.5,0.5,0.16666666666666666,0.3333333333333333
9,as023,0.25,0.375,0.125,0.125,0.125
9,as024,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
9,as025,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857
9,as026,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666
9,as027,0.125,0.375,0.375,0.375,0.125
9,as028,0.125,0.375,0.125,0.25,0.125
9,as029,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
9,as030,0.4,0.6,0.6,0.2,0.2
9,as031,0.2,0.4,1.2,0.2,0.2
9,as032,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666
9,as033,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
9,as034,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
9,as035,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
9,as036,0.125,0.375,0.25,0.125,0.125
9,as037,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666
9,as038,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
